<string><COLOR FF0000>#Rejected#</COLOR> Decorations_None_Explain
<string>Diese Dekoration verstärkt die<lf>Schnellfeuer-hoch-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Verteidigungsbonus-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Göttlicher-Segen-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Erholung-hoch-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Erholungstempo-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Schnellessen-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Ohrstöpsel-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Windsicher-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Erschütterungswiderstand-Fähigkt.
<string>Diese Dekoration verstärkt die<lf>Blasentanz-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Unverwundbarkeit-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Ausweichdistanz-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Feuerwiderstand-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Wasserwiderstand-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Eiswiderstand-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Donnerwiderstand-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Drachenwiderstand-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Pestwiderstand-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Giftwiderstand-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Lähmungswiderstand-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Schlafwiderstand-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Betäubungswiderstand-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Mist-Widerstand-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Explosionswiderstand-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Botaniker-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Geologen-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Teilezerstörer-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Fangmeister-Fähigkeit.
<string>
<string>Diese Dekoration verstärkt die<lf>Glückserhöher-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Schnelles-Schärfen-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Bombardier-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Mykologie-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Objektverlängerung-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Wirkbereich-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Freie-Mahlzeit-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Heldentat-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Kräftigen-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Unbeeindruckt-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Sprungmeister-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Zerleger-Profi-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Hungerwiderstand-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Schicksalssprung-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Provozierer-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Rittmeister-Fähigkeit.
<string>
<string>
<string>
<string>
<string>Diese Dekoration verstärkt die<lf>Seilkäfer-Flüsterer-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Wandläufer-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Gegenschlag-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Blitz-Morphen-Fähigkeit.
<string>Diese Dekoration verstärkt die<lf>Höllenfeuer-Umhang-Fähigkeit.
<string>
<string>
<string>
