guid,crc?,<PageAttr>,<TalkAttr>,<VillageProgress>,<HallProgress>,<HunterRank>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
10ca414a-1e48-47d1-902c-1f0d849e84b6,2208910429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_v3_002,"ボクはまだ生まれてなかったから
よく知らないニャいけど……","I wasn't even a kitten yet then,
so I haven't seen it fur myself, but...","Je n'étais même pas encore un chaton à
l'époque, alors je ne l'ai jamais vu...","Non ero neanche un cucciolo allora, perciò
non ero prrresente, ma...","Damals war ich noch nicht mal ein Kitten,
selbst habe ich es also nicht erlebt, aber...","Yo entonces no era ni un cachorro, así que no
lo he visto, pero...","Я тогда еще даже котенком не был,
так что лично не видел, но...","Nie było mnie wtedy jeszcze
na świecie, ale...",,,"Não era nem um filhote naquela época,
então não o vi pessoalmente, mas...","내가 태어나기 전 일이라
자세한 건 모르지만냥……","因為當時我還沒出生，
所以不太清楚喵……","当时我还没出生，
所以不了解具体情况喵……",,,,,,,,"لم أكن ولدت وقتها حتى،
لذلك لم أره بنفسي، ولكن...",,,,,,,,,,,
c2b9b045-16c7-4410-aa10-cf2181d08e80,3621604935,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_v3_003,"その話になると、２人とも
深刻な顔になるのニャ…。","Whenever those two talk about it, their
expressions get so grim all of a sudden.
Sends chills down my whiskers...","Mais quand ces deux-là en parlent, ils
ont l'air tellement abattus d'un coup
que ça me hérisse le poil...","Quando ne parlano, la loro espressione si fa
cupa all'improvviso! Mi si accappona il pelo.","Wann immer die beiden davon berichten,
verfinstern sich ihre Mienen plötzlich.
Lässt meine Schnurrhaare erzittern...","Cuando esos dos hablan de ello, sus
expresiones se ensombrecen de pronto.
Se me erizan los bigotes al verlo...","Когда они это вспоминают, у них
сразу такой мрачный вид.
Прямо шерсть дыбом.","Kiedy tylko ci dwaj o tym rozmawiają,
twarze od razu robią im się strasznie
posępne. Aż wąsy dęba stają...",,,"Sempre que esses dois falam sobre ele,
seus rostos se fecham de repente.
Me dá calafrios nos bigodes...","그 얘기를 꺼내면 두 분 다
심각한 표정을 짓는다냥…","可是每次一聊到這個話題，
他們都會露出很嚴肅的表情喵……","一提起这件事，
那两人的表情就特别严肃喵……",,,,,,,,"عندما يتحدث هذان الاثنان عنه،
أرى تعبيراتهم منزعجة جدًا.
هذا يشعرني بالقشعريرة...",,,,,,,,,,,
61a66cbd-ac05-4dd6-a631-06d8d977863f,2887239018,,(default)世間話,村進行☆5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_v5_000,"<PL>さん！
おめでとうだニャ！
おつかれさまだニャ！","<PL>!
Great work meow-t there!","<PL> ! Chat-peau bas !
C'était du beau boulot !","Ehi, <PL>!
Hai fatto prrroprio un ottimo lavoro!","Pfotastisch, <PL>!
Tolle Leistung da draußen!","¡Ey, <PL>!
¡Has hecho un gran trabajo!","<PL>!
Отлично сработано!","<PL>!
Miau-skonała robota!",,,"<PL>!
Você fez um trabalho miaugnífico!","<PL> 씨!
축하한다냥!
수고 많았다냥!","<PL>！
恭喜你喵！
辛苦你了喵！","<PL>！
恭喜喵！
辛苦了喵！",,,,,,,,"عمل رائع هناك،
يا <PL>!",,,,,,,,,,,
e43395e1-bf40-47b7-93e5-83f91a249bd7,1367911644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_v5_001,"あのマガイマガドを倒すニャんて…
ここでの特訓が実を結んだニャね！","You taking down Magnameowlo really
shows the fur-uits of your training!","Si tu as réussis à vaincre le Magnamalo,
c'est grâce à ton entraînement !","Sconfiggendo il Magnamiaolo hai dimostrato
che il tuo allenamento ha dato
i suoi frrrutti.","Dein Sieg gegen Magnamiaulo zeigt, wie
gut du trainiert hast!","La forma en que has acabado con Magnamalo
demiauestra los frutos de tu entrenamiento.","Раз ты <LSNR {победил} {победила}> Магнамало, значит,
тренировка приносит плоды!","Twoja walka z Magna-miau-lo to dowód, że
nie <LSNR {oszczędzałeś} {oszczędzałaś}> się na treningach!",,,"Você derrotar o Magnamiaulo mostra
os frutos do seu treino!","마가이마가도를 쓰러뜨리다니…
여기서 훈련한 게 결실을 본 거다냥!","你居然成功打倒了怨虎龍……
看來你在這裡特訓時留下的汗水
終於開花結果了喵！","你竟然成功打倒了那只怨虎龙喵……
没有白在这里接受特训喵！",,,,,,,,"أظهرت <LSNR {مهاراتك} {مهاراتكِ}> القتالية في هزيمة
ماجنامالو ثمار التدريبات!",,,,,,,,,,,
0728a454-67ee-4aed-bafa-9d98a1404517,3448942084,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_v5_002,"さあさあ、この勢いに乗って！
もっともっと、ガンガン特訓していくニャ！","Don't stop now, keep it up:
Eat, sleep, train! Eat, sleep, train!","Alors t'arrête pas en si bon chemin !
Rappelle-toi la règle des trois ""s"" :
S'empiffrer, s'endormir, s'entraîner !","Non fermarti, continua così: mangia, dormi e
allenati! Mangia, dormi e allenati!","Aber lass jetzt nicht nach:
Essen, schlafen trainieren!
Essen, schlafen, trainieren!","¡No te detengas ahora, sigue así!
¡Comer, dormir, entrenar, repetir!","Продолжай в том же духе.
Ешь, спи, тренируйся!
Ешь, спи, тренируйся!","Tak trzymaj: jedzenie, sen, trening!
Jedzenie, sen, trening!",,,"Não pare agora, continue:
Coma, durma, treine! Coma, durma, treine!","자, 이 기세로 지금까지 해 온 것보다
더 열심히 훈련하는 거다냥!","快，我們趁著這股氣勢！
再來多做一點特訓吧！","来啊来啊，趁着这股势头！
再接再厉，多多特训喵！",,,,,,,,"لا <LSNR {تتوقف الآن، استمر} {تتوقفي الآن، استمري}>:
أكل ونوم وتدريب! أكل ونوم وتدريب!",,,,,,,,,,,
477fb1e7-ebf8-4981-a9b9-16c165e6c121,1464024620,,(default)世間話,,集会所進行☆6,,この会話フラグがOFFなら→,EV_PRO_HALL_007_01_01,,このクエストがクリア済みなら→,QN010603,,,,,,,,,,,,,,,,,,,,,,,nid401_h6_000,"風神龍、イブシマキヒコを倒した
<PL>さんは語るニャ。","""Take it from <PL>,
Slayer of Ibushi:","""<PL>, <LSNR {celui} {celle}> ayant
vaincu l'Ibushi :","""Parola di <PL>,
carnefice dell'Ibushi:","""Lass es dir von <PL> gesagt
sein <LSNR {dem Bezwinger} {der Bezwingerin}> Ibushis:","""Como dice <PL>,
el fulminador de Ibushi:","""Вот что скажу вам я,
<PL>, Убийца Ибуси:","„<PL>, <LSNR {Zabójca} {Zabójczyni}> Ibushiego:",,,"“Faça como <PL>, Matador de Ibushi:","풍신룡 이부시마키히코를 쓰러뜨린
<PL> 씨는 말했다냥.","那位打倒風神龍的<PL>
曾經這麼說過喵……","打倒风神龙的
<PL>曰喵。",,,,,,,,"""<LSNR {خذ الحكمة} {خذي الحكمة}>
من <PL>، قاتل إيبوشي:",,,,,,,,,,,
ca1417a1-8161-4095-b9a7-bb76dbcaadbf,3878221204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_h6_001,"「私がここまでの力を手に入れたのは
　ひとえに、修練場での特訓の
　おかげであります」","'It would not have been pawssible to
achieve the power I have now had
it not been for the Training Area.'""","""Maintenant, ma force rivalise avec
celle des plus grands monstres, et tout
ça, grâce à l'Aire d'entraînement.""","""Non avrei potuto diventare forte come sono
ora se non fosse stato per l'area
di addestramento.""","'Nur meine Arbeit im Trainingsbereich
hat mir die Kraft verliehen, diesen Sieg
zu erlangen!'""","El poder que tengo ahora no habría sido
posible de no ser por la zona de
entrenamiento"".","""Я никогда не <LSNR {смог} {смогла}> бы достичь
такой силы, если бы не тренировки
в Тренировочной зоне"".","'Dojście na ten poziom nie byłoby
dla mnie miau-żliwe bez ćwiczeń na
obszarze treningowym'”.",,,"'Não teria sido possível chegar ao
poder que tenho agora se não
fosse pela Área de Treinamento.'""","「내가 이런 힘을 얻은 것은
전적으로 수련장에서 특훈을
한 덕분입니다」","「我能夠有今天這般實力，
　全都是在修練場
　努力特訓的結果。」","“我能获得这样强大的实力，
　只因我在修炼场
　进行过特训。”",,,,,,,,"'لم يكن ممكنًا الحصول على تلك القوة
التي عليها الآن ما لم أقضِ تلك
الأوقات في منطقة التدريب"".",,,,,,,,,,,
e8e312c0-79a4-4cf2-996f-aebf912cdb85,2236254660,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_h6_002,"そんな風に、ハンターズギルドに
宣伝とかしてくれると嬉しいなぁとか
思ったりするニャ。","I can see it meow on billboards everywhere...
Think the Guild would go fur it? It'd be
purr-etty neat if they did!","J'imagine déjà le succès d'une telle
publicité... Tu penses que la Guilde
serait partante ? Ce serait fabuleux !","Già me lo immiaogino su tutti i cartelloni!
Secondo te la Gilda apprrroverebbe?
Sarebbe prrroprio forte!","Ich kann es mir auf den Werbetafeln
vorstellen... Würde die Gilde da
mitmachen? Das wäre schon cool!","Lo puedo ver en carteles por doquier.
¿Crees que al gremio le parecería bien?
¡Ojalá me acepten la idea!","Я прямо вижу это на рекламных щитах...
Как думаешь, Гильдия клюнет?
Было бы здорово!","Już widzę to wszędzie na billboardach...
Miau-ślisz, że w Gildii się to spodoba?
Byłoby kociastycznie!",,,"Posso ver em outdoors por todo lado...
Acha que a Guilda topa? Seria
legal pra caramba se topassem!","그런 식으로 헌터 길드에
선전을 해 주면 고맙다고
생각한다냥.","……如果你能像這樣
幫我向獵人公會宣傳，
我會很開心的喵。","我觉得，
你要是能这样帮我们
向猎人公会宣传宣传就好了喵。",,,,,,,,"يُمكنني أن أراه الآن على لوحات الإعلانات
في كل مكان... أظن أن النقابة ستوافق عليه؟
سيكون هذا رائعًا إذا فعلوا ذلك!",,,,,,,,,,,
414cfc83-4a64-41f2-9b81-86add3d0c85f,3552067518,,(default)世間話,,集会所進行☆7以上,,この会話フラグがOFFなら→,EV_PRO_HALL_008_02_01,,このクエストがクリア済みなら→,QN010702,,,,,,,,,,,,,,,,,,,,,,,nid401_h7_000,"雷神龍、ナルハタタヒメを倒した
<PL>さんは語るニャ。","""Take it from
<PL>, Slayer of Narwa:","""<PL>, <LSNR {celui} {celle}> ayant
vaincu la Narwa :","""Parola di <PL>,
carnefice della Narwa:","""Lass es dir von <PL> gesagt
sein <LSNR {dem Bezwinger} {der Bezwingerin}> Narwas:","""Como dice <PL>,
el terror de Narwa:","""Вот что скажу вам я,
<PL>, Убийца Нарвы:","„<PL>, <LSNR {Zabójca} {Zabójczyni}> Narwy:",,,"“Acredite em
<PL>, <LSNR {Matador} {Matadora}> de Narwa:","뇌신룡 나루하타타히메를 쓰러뜨린
<PL> 씨는 말했다냥.","那位打倒雷神龍的<PL>
曾經這麼說過喵……","打倒雷神龙的
<PL>曰喵。",,,,,,,,"""<LSNR {خذ الحكمة} {خذي الحكمة}> من <PL>،
قاتل ناروا:",,,,,,,,,,,
3d6d1b5b-de69-4d46-9ffb-ec9d78c37af1,1264841589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_h7_001,"「雷神龍を退治したとき
　ふいに脳裏に浮かんだのは、
　修練場での特訓の日々でありました」","When I slew the Thunder Serpent, in
the back of my mind were thoughts of my
daily exertions in the Training Area.'""","Quand j'ai vaincu la Narwa du tonnerre,
j'ai compris l'importance de toutes ces
heures passées à l'Aire d'entraînement.","""Mentre affrontavo la Narwa del tuono, non
facevo che pensare ai miei allenamenti
quotidiani all'area di addestramento.""","""Beim Sieg gegen die Donnerschlange
konnte ich mich auf mein Training
im Trainingsbereich verlassen!""","Mi rutina en la zona de entrenamiento guio
mis músculos cuando me enfrenté con
Narwa de trueno"".","Когда я <LSNR {сразил} {сразила}> Змея грома,
я <LSNR {вспомнил} {вспомнила}>, как <LSNR {тренировался} {тренировалась}>
в Тренировочной зоне"".","Gdy <LSNR {zabijałem} {zabijałam}> Węża Grzmotu, przed oczami
stanęły mi dni i godziny ćwiczeń
na obszarze treningowym”.",,,"'Quando derrotei a Serpente do Trovão,
na minha cabeça estavam os pensamentos
das minhas idas à Área de Treinamento.'""","「뇌신룡을 퇴치했을 때
제 머릿속에 떠오른 건 수련장에서
특훈하던 나날이었습니다」","「在我擊退雷神龍的時候，
　腦中浮現的畫面，
　是在修練場特訓的每一天。」","“击退雷神龙之时，
　猛然浮现在我脑海中的，
　是在修炼场特训的日日夜夜。”",,,,,,,,"عندما قتلت أفعى الرعد،
جال بخاطري تلك الأوقات المجهدة التي
قضيتها يوميًا في منطقة التدريب"".",,,,,,,,,,,
c6be5830-884e-40e4-bb4f-0b7a50ce1efd,2935462974,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_h7_002,"そんな風に、ハンターズギルドに
宣伝とかしてくれると嬉しいなぁとか
思ったりするニャ。","I can see it meow in magazines everywhere...
Think the Guild would go fur it? It'd be
purr-etty neat if they did!","J'imagine déjà le succès d'une telle
publicité... Tu penses que la Guilde
serait partante ? Ce serait fabuleux !","Già me lo immiaogino su tutti i giornali!
Secondo te la Gilda apprrroverebbe?
Sarebbe prrroprio forte!","Ich kann es mir in den Zeitschriften
vorstellen... Würde die Gilde da
mitmachen? Das wäre schon cool!","Lo puedo ver en todas las revistas.
¿Crees que al gremio le parecería bien?
¡Ojalá me acepten la idea!","Я прямо вижу это во всех журналах...
Как думаешь, Гильдия клюнет?
Было бы здорово!","Już widzę to wszędzie w miau-gazynach...
Miau-ślisz, że w Gildii się to spodoba?
Byłoby kociastycznie!",,,"Posso ver em revistas por todo lado...
Acha que a Guilda topa? Seria
legal pra caramba se topassem!","그런 식으로 헌터 길드에
선전을 해 주면 고맙다고
생각한다냥.","……如果你能像這樣
幫我向獵人公會宣傳，
我會很開心的喵。","我觉得，
你要是能这样帮我们
向猎人公会宣传宣传就好了喵。",,,,,,,,"يُمكنني أن أراه الآن في المجلات في كل مكان...
أظن أن النقابة ستوافق عليه؟ سيكون هذا رائعًا
إذا فعلوا ذلك!",,,,,,,,,,,
7d43e367-1481-4dc0-8db6-7e132ab9b74b,3651860972,,(default)世間話,,集会所進行☆7EX,,この会話フラグがOFFなら→,EV_PRO_HALL_008_05_01,,この会話フラグがONなら→,EV_PRO_HALL_008_02_01,,,,,,,,,,,,,,,,,,,,,,,nid401_h7_003,"おっ、<PL>さん！
今日も精が出るニャ！","I've never met a hunter as meowtivated as you
be-furr! You come in here and train your tail
off despite everything you've already done!","J'ai jamais rencontré de chasseurs aussi
motivés que toi ! Tu continues de
t'entraîner malgré tes exploits !","Non ho mai incontrato nessuno così miaotivato
come te. Ti spacchi la coda per allenarti,
nonostante i traguardi che hai già raggiunto!","Ich hab noch nie <LSNR {einen} {eine}> so <LSNR {miautivierten} {miautivierte}>
<LSNR {Jäger} {Jägerin}> wie dich getroffen. Kommst her
und trainierst bis zum Umfallen!","¡Nunca había visto un cazador tan miautivado
como tú! ¡Sigues viniendo a entrenar a pesar
de todo lo que has logrado!","Никогда еще не видел <LSNR {охотника} {охотницу}>
с такой мотивацией! Ты столького <LSNR {достиг} {достигла}>,
а все равно приходишь сюда заниматься!","Nigdy nie widziałem tak <LSNR {zmiau-tywowanego} {zmiau-tywowanej}>
<LSNR {łowcy} {łowczyni}> jak ty! Naprawdę się nie
oszczędzasz, choć tyle już <LSNR {osiągnąłeś} {osiągnęłaś}>!",,,"Nunca encontrei <LSNR {um caçador tão miautivado}{uma caçadora tão miautivada}>
quanto você! Você vem aqui e treina até
cansar, mesmo que já tenha terminado!","오, <PL> 씨!
오늘도 열심이구냥!","哦，<PL>！
你今天也很有幹勁呢喵！","哟，<PL>！
今天也干劲十足喵！",,,,,,,,"لم أقابل قط صيادًا متحمسًا
<LSNR {مثلك} {مثلكِ}>! يجب أن تأتي للتدريب
هنا على الرغم من أي شيء <LSNR {فعلته} {فعلتِه}>!",,,,,,,,,,,
05617ccd-e052-4bf2-8309-8eb324ab44f2,883305564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_h7_004,"<PL>さんはそんなに強いのに
まだまだ上を目指して
修練場へ来るのニャね～。","I wish more hunters were more like you,
<PL>...","J'aimerais bien que tous les chasseurs
soient comme toi, <PL>...","Vorrei che ci fossero più cacciatori come te,
<PL>...","Ich wünschte mir, mehr <LSNR {Jäger} {Jägerinnen}> wären wie du,
<PL>...","Ojalá hubiera más cazadores como tú,
<PL>...","Нам нужно больше таких охотников,
как ты, <PL>...","Wszyscy powinni brać z ciebie
przykład, <PL>...",,,"Queria que mais caçadores fossem que nem
você, <PL>...","<PL> 씨는 그렇게 강한데
더 높은 경지를 위해
수련장에 오는 거구냥~","<PL>，
你都已經這麼厲害了，
竟然還想著要來修練場繼續精進喵～","<PL>已经这么强了，
却还是来修炼场
力求突破喵～",,,,,,,,"أتمنى أن جميع الصيادين
<LSNR {مثلك} {مثلكِ}>، يا <PL>...",,,,,,,,,,,
7733111e-5171-4567-a415-1abf76095edf,3727159455,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_h7_005,"だからこそ、里の英雄と呼ばれるくらい
強くなったのニャね。
ボク、尊敬してるニャ。","If there were, then Kamura would have
an unstoppable army of super-hunters!
The meownsters would be scared of US!","Si c'était le cas, Kamura aurait une
armée de super chasseurs invincibles !
Les monstres auraient peur de nous !","Se così fosse, Kamura avrebbe un esercito
inarrestabile di super cacciatori!
I miaostri ci temerebbero!","Dann hätte Kamura eine unaufhaltsame
Armee von Super-Jägern und die Miaunster
würden sich vor UNS fürchten!","Si los hubiese, ¡Kamura tendría un ejército
imparable de supercazadores! ¡Serían los
monstruos los que tendrían miedo!","Тогда у Камуры была бы неудержимая армия
супер-охотников! Тогда бы
мяунстры боялись НАС!","Kamura miau-aby wtedy niezwyciężoną
armię superłowców! To miaustra
drżałyby ze strachu przed NAMI!",,,"Se fosse, Kamura teria um exército
imbatível de super-caçadores!
Os miaunstros teriam medo de NÓS!","그래서 마을의 영웅이라고 불릴 정도로
강해진 것 같다냥.
나도 존경한다냥.","正因如此，你才會強大到
被眾人稱為村裡的英雄。
我好尊敬你喵。","正因如此，你才锻炼出了
足以获得本村英雄美誉的实力喵。
我很尊敬你喵。",,,,,,,,"إذا كانوا كذلك،
فسيكون لدى كامورا جيش قوي من الصيادين
لا يقهر! وجميع الوحوش سترتعب منا!",,,,,,,,,,,
35690d26-e6f8-475a-aa38-a3b85d961853,3353388418,,(default)世間話,,集会所進行☆7EX,,この会話フラグがONなら→,EV_PRO_HALL_008_05_01,,このクエストが未クリアなら→,QN010706,,,,,,,,,,,,,,,,,,,,,,,nid401_h8_000,"風神龍と雷神龍を討伐しに行くのニャね。
頑張ってくるニャ！","So you're gonna go paw-to-paw
with Narwa and Ibushi, huh?
Go get 'em, Tigrex!","Alors, chat va barder pour la Narwa et
l'Ibushi, hein ? Montre-leur ce que t'as
dans le ventre, Tigrex !","Stai per batterti zampa a zampa contro la
Narwa e l'Ibushi, eh? Dacci dentro, Tigrex!","Du stürzt dich also ins Pfotengemenge mit
Narwa und Ibushi, hm? Schnapp sie dir,
Tigrex!","Conque vas a vértelas pata a mano con Narwa e
Ibushi, ¿eh? ¡A por ellos, Tigrex!","Значит, ты выйдешь на бой с Нарвой
и Ибуси? Давай, задай им!","No to jak, idziesz na łapy z Narwą
i Ibushim? Bierz ich, Tigreksie!",,,"Então você vai encarar Narwa e
Ibushi, não é? Vá pegá-los, Tigrex!","풍신룡과 뇌신룡을 토벌하러 가는 거냥?
힘내라냥!","你要去討伐風神龍和雷神龍了吧喵。
加油喵！","你要去讨伐风神龙和雷神龙了喵。
要加油喵！",,,,,,,,"إذن <LSNR {ستذهب} {ستذهبين}> لقتال
ناروا وإيبوشي؟
<LSNR {اذهب وافعلها يا بطل} {اذهبي وافعليها يا بطلة}>!",,,,,,,,,,,
5334d2d2-54a1-46d2-87f6-68d6ec4bf359,2385503813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_h8_001,"<PL>さんは、
ハンターになる前から
しっかりバッチリここで特訓してたのニャ。","You've been training here day
and night, sun or shine, fur longer
than you've even been a hunter.","Dis-donc, c'est moi ou tu passes ta vie
à t'entraîner ici ? T'as pas mal
aux coussinets à force ?","Ti sei <LSNR {allenato} {allenata}> qui giorno e notte,
con la pioggia e con il sole, persino
da prima che diventassi <LSNR {un cacciatore} {una cacciatrice}>.","Du hast hier Tag und Nacht und bei jedem
Wetter trainiert – und das schon, bevor du
überhaupt <LSNR {zum Jäger} {zur Jägerin}> wurdest.","Te has entrenado día y noche, contra viento
y marea, desde antes incluso de ser <LSNR {cazador} {cazadora}>.","Ты здесь тренируешься днем и ночью,
в любую погоду, задолго до того,
как <LSNR {стал охотником} {стала охотницей}>.","<LSNR {Trenowałeś} {Trenowałaś}> tu dzień i noc,
czy słońce, czy deszcz. Dłużej niż
jesteś <LSNR {miauwcą} {miauwczynią}>!",,,"Você vem treinando aqui dia e noite,
faça chuva ou faça sol, muito antes
de ser <LSNR {um caçador} {uma caçadora}>.","<PL> 씨는
헌터가 되기 전부터
여기서 열심히 훈련했다냥.","<PL>在當上獵人之前，
已經在這裡進行過紮實的訓練了喵。","<PL>从当上猎人前开始，
就一直坚持在这里努力特训喵。",,,,,,,,"<LSNR {أنت تتدرب هنا} {أنتِ تتدربين هنا}>
ليلًا ونهارًا، ولمدة أطول
من <LSNR {كونك صيادًا} {كونكِ صيادة}>.",,,,,,,,,,,
c3d19a60-a387-4226-a481-11efc9c249d7,930154423,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_h8_002,"だから、なにがあっても大丈夫ニャ！
はりきって、行ってくるニャ！","So put those skills to work! All that
training is sure to pay off!","Allez, il est temps de passer à l'action !
Fais honneur à ton entraînement !","È ora di mettere alla prova le tue abilità e
di vedere i frutti di tutti i tuoi sforzi.","Also setz diese Fähigkeiten ein! All dein
Training wird sich definitiv auszahlen!","¡Así que pon en práctica lo aprendido!
¡Seguro que todo ese entrenamiento se nota!","Дай применение своим навыкам! Теперь
твои тренировки себя окупят!","Wykorzystaj te miau-miejętności!
Całe to trenowanie na pewno się opłaci!",,,"Então, coloca essas habilidades em
prática! Todo esse treinamento,
certamente, será recompensado!","그러니까 무슨 일이 있어도 괜찮을 거다냥!
기합 단단히 넣고 힘차게 다녀와라냥!","所以遇到任何事都能順利解決的喵！
卯足全力出發吧喵！","所以，不管发生什么都不要紧喵！
要鼓足了干劲上喵！",,,,,,,,"إذن لنفّعل تلك المهارات! يجب أن نرى آثار كل
هذا التدريب!",,,,,,,,,,,
3de18fdf-fcd6-4d13-80ef-a6e6e7e7222c,1549261055,,(default)世間話,,集会所進行☆7EX,,このクエストがクリア済みなら→,QN010706,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_h8_003,"おっ、<PL>さん！
今日も特訓かニャ？","Hey, <PL>! Come to purr-actice
your mew-ves?","Hé, <PL> ! Tu viens t'étirer
un peu les pattes ?","Ehi, <PL>!
Sei qui per far prrratica?","Hey, <PL>!
Na, willst du deine Kampftricks üben?","¡Eh, hola, <PL>!
¿Has venido a purrracticar tus técnicas?","Привет, <PL>!
Хочешь потренироваться?","Hej, <PL>! <LSNR {Przyszedłeś} {Przyszłaś}>
poćwiczyć te kocie ruchy?",,,"Ei, <PL>!
Veio aperfeiçoar seus miauvimentos?","오, <PL> 씨!
오늘도 특훈하는 거냥?","哦，<PL>！
你今天也要去特訓嗎喵？","哟，<PL>！
今天也去特训喵？",,,,,,,,"مهلًا، يا <PL>... <LSNR {هل أتيت} {هل أتيتِ}>
للتدريب؟",,,,,,,,,,,
e1935e11-e71a-4dc6-bb95-5ecd880574d5,3639175018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_h8_004,"里を災禍から救った英雄でありながら、
たゆまぬ努力を続けて、
さらなる強さを求める…。","Even after saving Kamura from calamity
and becoming a big-shot hero, you don't
slack at all, do ya?","Ce n'est pas parce que tu as sauvé Kamura
de la Calamité qu'il faut commencer à
se la couler douce, hein !","Persino dopo aver salvato Kamura dalla
calamità, diventando <LSNR {un eroe} {un'eroina}>, non
ti piace dormire sugli allori, eh?","Selbst als <LSNR {gefeierter Held} {gefeierte Heldin}> und <LSNR {Retter} {Retterin}>
von Kamura lässt du nicht nach, was?","Aunque hayas salvado Kamura de la calamidad
y seas <LSNR {todo un héroe} {toda una heroína}>, no te vayas a dormir
en los laureles, ¿eh?","Даже избавив Камуру от бед, даже став
<LSNR {настоящим героем} {настоящей героиней}>, ты не почиваешь
на лаврах, правда?","Nawet po uratowaniu Kamury od zagłady
i zyskaniu miana <LSNR {bohatera} {bohaterki}>
nie obijasz się, co?",,,"Mesmo depois de salvar Kamura da
calamidade e se tornar <LSNR {um herói} {uma heroína}>
importante, você não descansa, não é?","마을을 재앙에서 구해 낸 영웅이면서
노력을 게을리하지 않고
더 높은 경지를 노린다니…","明明已是將村莊從災禍中拯救出來的英雄了，
卻依舊努力不懈，追求更為強大的實力……","你身为拯救村庄免于灾祸的英雄，
却还不断坚持努力，
追求更大的进步……",,,,,,,,"وحتى بعد إنقاذ كامورا من الكارثة
<LSNR {وتحولك إلى بطل مغوار} {وتحولكِ إلى بطلة مغوارة}>
لا استسلام للتراخي، أليس كذلك؟",,,,,,,,,,,
9cc16e3c-3277-4211-b5f3-7673281638c7,1903529768,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid401_h8_005,"うん！　すごいニャ！
ボクも見習わないとニャ！","A-meow-zing! I'll have to follow in your
tracks!","Chapristi, je te tire mon chat-peau !
Je vais tout faire pour atteindre
ton niveau !",Miaognifico! Voglio seguire il tuo esempio!,"Sens-katz-ionell! Ich muss auf jeden Fall
in deine Pfotenstapfen treten!","¡Impurrresionante!
¡Tengo que seguir tus pasos!","Потрясающе! Пора мне брать
с тебя пример!","Miau-samowite! Będę musiał
podążyć twoim śladem!",,,"Miaugnífico!
Vou ter que seguir seus passos!","음! 대단하다냥!
나도 본받아야겠다냥!","嗯！實在太厲害了喵！
我也必須向你看齊才行喵！","嗯！好厉害喵！
我也得向你学习才行喵！",,,,,,,,"رائع! يجب أن أسير على
<LSNR {خطاك} {خطاكِ}>!",,,,,,,,,,,
