guid,crc?,<PageAttr>,<TalkAttr>,<VillageProgress>,<HallProgress>,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
68de7360-f1f3-4ec0-bb59-259077b4b257,2194135742,,,,,ID_LOCALTEST_10,１２３<FONT 〇〇>４５６</FONT>７８９,,123<FONT 〇〇>456</FONT>789,123<FONT 〇〇>456</FONT>789,123<FONT 〇〇>456</FONT>789,123<FONT 〇〇>456</FONT>789,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa848a4e-e5ee-4030-bfa6-e46160aea04c,529206009,,,,,ID_LOCALTEST_11,１２３<size 〇〇>４５６</size>７８９,,123<size 〇〇>456</size>789,123<size 〇〇>456</size>789,123<size 〇〇>456</size>789,123<size 〇〇>456</size>789,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9653386-97c0-4822-a7dc-9c4c45ce63f5,4067870709,,,,,ID_LOCALTEST_12,<LEFT>先輩ハンター・ハネナガ,,<LEFT>Hanenaga le grand chasseur,<LEFT>Hanenaga il cacciatore esperto,<LEFT>Oberjäger Hanenaga,<LEFT>Hanenaga el cazador experto,,,,,,,,,,,,,,,,,,,,,,,,,,,
c931be48-d5f4-406e-bb1d-ccb77bac95bc,4044623311,,,,,ID_LOCALTEST_13,<CENTER>ハンター見習いのタイシ,,<CENTER>Taishi l'apprenti chasseur,<CENTER>Taishi il cacciatore novizio,<CENTER>Jägerneuling Taishi ,<CENTER>Taishi el cazador novato,,,,,,,,,,,,,,,,,,,,,,,,,,,
536d0ff4-276b-4ecc-989a-accbe71697bc,981684475,,,,,ID_LOCALTEST_14,<RIGHT>米穀屋のスズカリ,,<RIGHT>Suzukari la marchande de riz,<RIGHT>Suzukari la mercante di riso,<RIGHT>Reishändlerin Suzukari,<RIGHT>Suzukari el tendero de arroz,,,,,,,,,,,,,,,,,,,,,,,,,,,
37d6a4d3-5f18-4a0e-a3a3-5a759b6f16ba,2172935774,,,,,ID_LOCALTEST_15,<PAGE>,Test,,,,Test,,,,,,<PAGE>,<PAGE>,,,,,,,,,,,,,,,,,,,,
8887e98e-b10b-48cf-84fc-e5fcc2a8e3c0,2329449300,,,,,ID_LOCALTEST_16,<REF 〇〇>,<REF 〇〇>Test,,,,<REF 〇〇>Test,,,,,,,,,,,,,,,,,,,,,,,,,,,
b80ce932-14bf-4341-97e9-4171f96ec304,1616465449,,,,,ID_LOCALTEST_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7731b8bc-94c1-4aa1-a5ad-f4b1c64a25e6,2446916939,,,,,ID_LOCALTEST_18,<EVENT 〇〇>,,<EVENT 〇〇>,<EVENT 〇〇>,<EVENT 〇〇>,<EVENT 〇〇>,,,,,,,,,,,,,,,,,,,,,,,,,,,
22ab64be-e6cc-4634-9f50-c7460dff8b89,1643085910,,,,,ID_LOCALTEST_19,<TCU>１２３</TCU>,,<TCU>123</TCU>,<TCU>123</TCU>,<TCU>123</TCU>,<TCU>123</TCU>,,,,,,,,,,,,,,,,,,,,,,,,,,,
02fcea99-a71c-456b-99a3-8b28f7346765,1514438764,,,,,ID_LOCALTEST_20,<EWIN>,,<EWIN>,<EWIN>,<EWIN>,<EWIN>,,,,,,,,,,,,,,,,,,,,,,,,,,,
37b1f682-2633-4457-88ad-95cc97250f03,2617954706,,重要会話(進行),村進行☆5,-,ID_LOCALTEST_21,"<CAM:2>怨虎竜マガイマガドは狩猟したが、
まだ数多くのモンスターとクエストが
オマエを待っているぞ！",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e63b37a0-df2d-4b69-ad5d-82572b39225d,2020522051,,,,,ID_LOCALTEST_22,"ヒノエから、<COL RED>★５</COL>のクエストが
受けられるようになっている！
確認してみるといい！","You can now take on 5★ quests from Hinoa the Quest Maiden!
Go pay her a visit!",,,,"¡Ya puedes recibir misiones de 5★ de Hinoa,
la gestora de misiones! ¡Ve a hablar con ella!",,,,,,,,,,,,,,,,,,,,,,,,,,,
1fc0c4ff-1a6b-4fb9-8e35-ce76fa78c584,2501818000,会話終了,,,,ID_LOCALTEST_23,"<PL>よ…！　オマエこそ、
我らの心を熱くたぎらせる猛き炎だ！
気焔万丈！　さらなる高みを目指せ！",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5334717e-ff82-4d22-b551-02aaa2ee8ae5,307004680,会話終了,会話フキダシ(赤),村進行☆5,-,ID_LOCALTEST_24,一大事！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2adb5289-a265-4ca4-862b-6cfd1cf834a1,2220011120,,(default)世間話,,集会所進行☆1,ID_LOCALTEST_25,"おお、<PL>！
集会所でのクエストを開始したか。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22ac45c8-e944-4710-8361-70ce4a8c22c8,1306096431,会話終了,,,,ID_LOCALTEST_26,"仲間と狩るもよし。ひとりで狩るもよし。
クエストをどんどんこなして、
まずは上位を目指せ！　期待しているぞ！",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a74a92c-4db7-4b28-bf45-e3388c6c2e85,119146587,-,,,,ID_LOCALTEST_27,"１２３４５
アイルーア","1234567890
FelyneFely",,,,"1234567890
FelyneFely",,,,,,"１２３４５
아이루아이","１２３４５
艾路艾路艾","１２３４５
艾露猫艾露",,,,,,,,,,,,,,,,,,,
1c4c1dd0-aa8f-41f6-9dc8-f4ef9c41f109,4065695782,-,,,,ID_LOCALTEST_28,"１ ２ ３４
ア イ ルー","1 2 345678
F e lyneFe",,,,"1 2 345678
F e lyneFe",,,,,,"１ ２ ３４
아 이 루아","１ ２ ３４
艾 路 艾路","１ ２ ３４
艾 露 猫艾",,,,,,,,,,,,,,,,,,,
dc42c186-d8ce-4d09-ba64-09191686ef91,1735380924,-,,,,ID_LOCALTEST_29,"１ ２ ３ ４
ア イ ル ー","1 2 3 45678
F e l yneFe",,,,"1 2 3 45678
F e l yneFe",,,,,,"１ ２ ３ ４
아 이 루 아","１ ２ ３ ４
艾 路 艾 路","１ ２ ３ ４
艾 露 猫 艾",,,,,,,,,,,,,,,,,,,
11ba896d-c37a-4c40-8183-3422cd3eae0a,4176735020,-,,,,ID_LOCALTEST_30,"１ ２３４５
ア イルーア","1 2 3 45678
F e l yneFe",,,,"1 2 3 45678
F e l yneFe",,,,,,"１ ２３４５
아 이루아이","１ ２３４５
艾 路艾路艾","１ ２３４５
艾 露猫艾露",,,,,,,,,,,,,,,,,,,
75938f81-0a7b-4e1a-b9be-b9d6cc7dcdba,3321177315,-,,,,ID_LOCALTEST_31,"１２３４５６
アイルーアイ","12345678901
FelyneFelyn",,,,"12345678901
FelyneFelyn",,,,,,"１２３４５６
아이루아이루","１２３４５６
艾路艾路艾路","１２３４５６
艾露猫艾露猫",,,,,,,,"12345678901
FelyneFelyn",,,,,,,,,,,
96ce9b24-4486-4885-9006-bde455efe9ad,1566022587,-,,,,ID_LOCALTEST_32,"<LSNR {Lui} {Lei}> è... come dire... <LSNR {unico} {unica}>.
<LSNR {Il} {La}> numero uno per capacità, intraprendenza, ingegno… ","<LSNR {un grand guerrier}{une grande guerrière}> et tu seras la risée de tous !)
jamais <LSNR {un grand guerrier}{une grande guerrière}> et tu seras la risée de tous !)",,,,"<LSNR {un grand guerrier}{une grande guerrière}> et tu seras la risée de tous !)
jamais <LSNR {un grand guerrier}{une grande guerrière}> et tu seras la risée de tous !)",,,,,,,,,,,,,,,,"<LSNR {un grand guerrier}{une grande guerrière}> et tu seras la risée de tous !)
jamais <LSNR {un grand guerrier}{une grande guerrière}> et tu seras la risée de tous !)",,,,,,,,,,,
a26fd698-e139-447d-bacf-afd53b2efce4,3009212036,-,,,,ID_LOCALTEST_33,"<LSNR {Lui} {Lei}> è... come dire... <LSNR {unico} {unica}>.
<LSNR {Il} {La}> numero uno per capacità, intraprendenza, ingegno… ","(Si tu abandonnes maintenant, tu ne deviendras
jamais <LSNR {un grand guerrier}{une grande guerrière}> et tu seras la risée de tous !)",,,,"(Si tu abandonnes maintenant, tu ne deviendras
jamais <LSNR {un grand guerrier}{une grande guerrière}> et tu seras la risée de tous !)",,,,,,,,,,,,,,,,"(Si tu abandonnes maintenant, tu ne deviendras
jamais <LSNR {un grand guerrier}{une grande guerrière}> et tu seras la risée de tous !)",,,,,,,,,,,
fa1f5d55-4798-4b7b-b0c1-660aa7050b2c,3857674402,,,,,ID_LOCALTEST_34,アラビア語テスト用,Arabic Test 1,,,,,,,,,,,,,,,,,,,,<BSL>S (H)</BSL> صدر أوتسوشي,,,,,,,,,,,
2afc0fba-7aa4-45ec-ad46-ea8145b281cc,3366611870,,,,,ID_LOCALTEST_35,アラビア語テスト用,Arabic Test 2,,,,,,,,,,,,,,,,,,,,صدر أوتسوشي <BSL>S (H)</BSL> ,,,,,,,,,,,
019a064f-fcac-4333-a818-3fe3df914d23,3055847115,,,,,ID_LOCALTEST_36,アラビア語テスト用,Arabic Test 3,,,,,,,,,,,,,,,,,,,,صدر أوتسوشي <BSL>S (H)</BSL>,,,,,,,,,,,
38725597-846b-47a8-a957-07b7c05bac0c,3963955546,,,,,ID_LOCALTEST_37,アラビア語テスト用,Arabic Test 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87bf0645-1107-4c32-b452-821d6595689c,1883491072,,,,,ID_LOCALTEST_38,アラビア語テスト用,Arabic Test 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3946f78d-ba9d-43ff-b05f-38ab4c95cc20,120408031,,,,,ID_LOCALTEST_39,アラビア語テスト用,Arabic Test 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
