guid,crc?,<PrgDispCategory>,<PrgDispTiming>,<HunterRank>,<PrgDispHRCondition>,<PrgDispFlag>,<PrgDispCondition>,<PrgDispFlag>,<PrgDispCondition>,<PrgDispFlag>,<PrgDispCondition>,<PrgDispFlag>,<PrgDispCondition>,<PrgDispFlag>,<PrgDispCondition>,<PrgDispIconL>,<PrgDispIconS>,<QuestNumber>,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
fafdf83d-4e71-45a0-919b-9b169d2d43a6,154994507,村,里進行001_01,,,EV_PRO_VILL_001_01_08,←がON,QN030101,←が未クリア,"""""","""""","""""","""""","""""","""""",受注アイコン,アイコンなし,QN030101,prg_disp_v001_07,"<COL YEL>里★１緊急クエストをクリア</COL>
{0}","<COL YEL>1★ Village Urgent Quest:</COL>
{0}","<COL YEL>Quête Urgente du village 1★</COL>
{0}","<COL YEL>Missioni villaggio urgenti 1★</COL>:
{0}","<COL YEL>Dringende 1★-Dorf-Quest:</COL>
{0}","<COL YEL>Misión urgente de 1★ de aldea:</COL>
{0}","<COL YEL>Срочное задание в деревне, 1★:</COL>
{0}","<COL YEL>1★ pilne zadanie wioski:</COL>
{0}",,,"<COL YEL>Missão Urgente da Aldeia 1★:</COL>
{0}","<COL YEL>마을 ★1 긴급 퀘스트 클리어</COL>
{0}","<COL YEL>完成村莊★1的緊急任務</COL>
{0}","<COL YEL>完成村庄的★1紧急任务</COL>
{0}",,,,,,,,"<COL YEL>مهمة قرية عاجلة <BSL>★1</BSL>:</COL>
{0}",,,,,,,,,,,
42cc6485-efa9-47dc-bd95-8d8d05b7042a,2431500786,村,里進行001_02,,,QN030101,←をクリア,EV_PRO_VILL_001_02_01,←がOFF,"""""","""""","""""","""""","""""","""""",里長フゲン_モデル,赤フキダシ,,prg_disp_v001_08,<COL YEL>里長フゲン</COL>と話す,Talk to <COL YEL>Fugen the Elder</COL>,Parler à <COL YEL>Fugen l'Ancien</COL>,Parla con <COL YEL>Fugen l'anziano</COL>,Sprich mit <COL YEL>Fogen dem Ältesten</COL>,Habla con <COL YEL>Fugen el anciano</COL>,"Поговорить со
<COL YEL>Старейшиной Фугэном</COL>","Porozmawiaj ze
<COL YEL>Starszym Fugenem</COL>",,,"Fale com <COL YEL>Fugen, o ancião</COL>",<COL YEL>촌장 후겐</COL>과 대화,與<COL YEL>村長傅賢</COL>交談,与<COL YEL>村长普贤</COL>对话,,,,,,,,تحدث إلى <COL YEL>المعمر فيوجين</COL>,,,,,,,,,,,
312c350d-dead-47a9-a059-13c2d650f60b,1916723904,村,里進行001_02,,,EV_PRO_VILL_001_02_01,←がON,EV_PRO_VILL_001_02_02,←がOFF,"""""","""""","""""","""""","""""","""""",里の受付嬢ヒノエ_モデル,赤フキダシ,,prg_disp_v001_09,<COL YEL>里の受付嬢ヒノエ</COL>と話す,Talk to <COL YEL>Hinoa the Quest Maiden</COL>,Parler à <COL YEL>Hinoa la quêtatrice</COL>,"Parla con
<COL YEL>Hinoa la missionatrice</COL>","Sprich mit <COL YEL>Hinoa
dem Quest-Mädel</COL>","Habla con <COL YEL>Hinoa la gestora de
misiones</COL>","Поговорить с
<COL YEL>Раздатчицей заданий Хиноа</COL>",Pomów z <COL YEL>szefową zadań Hinoą</COL>,,,"Fale com <COL YEL>Hinoa, a recrutadora</COL>",<COL YEL>마을 접수원 히노에</COL>와 대화,與<COL YEL>村莊接待員火芽</COL>交談,与<COL YEL>村庄接待员火芽</COL>对话,,,,,,,,تحدث إلى <COL YEL>هينوا فتاة المهام</COL>,,,,,,,,,,,
1963d19c-5541-41b2-b1af-f7a56c34e84b,1538222011,村,里進行001_02,,,EV_PRO_VILL_001_02_02,←がON,QUEST_LEVEL_1,←の村セレクトクエストが規定数未クリア,"""""","""""","""""","""""","""""","""""",セレクトクエスト受注アイコン,アイコンなし,,prg_disp_v001_10,"★１セレクトクエストをクリア
⇒あと<COL YEL>{0}クエスト</COL>","1★ Key Quest Completion:
<COL YEL>{0} quest(s)</COL> remaining","Quêtes clés 1★ à terminer :
<COL YEL>{0} quête(s)</COL> restante(s)","Missioni chiave 1★ rimanenti:
<COL YEL>{0}</COL>","Erfüllung der 1★-Hauptquests:
<COL YEL>{0} Quest(s)</COL> verbleibend","Misiones clave de 1★
Misiones restantes: <COL YEL>{0}</COL>","Выполнение ключ. задания, 1★
Осталось заданий: <COL YEL>{0}</COL>","Ukończone 1★ zadania kluczowe:
pozost. <COL YEL>{0} zad.</COL> ",,,"Conclusão de Missão-chave 1★:
<COL YEL>{0} missão(ões)</COL> restando","★1 엄선 퀘스트를 클리어
⇒앞으로 <COL YEL>{0}퀘스트</COL> 남음","完成★1精選任務
⇒還剩<COL YEL>{0}項任務</COL>","完成★1精选任务
⇒剩余<COL YEL>{0}项任务</COL>",,,,,,,,"اكتمال المهمة الرئيسية <BSL>★1</BSL>:
تبقى <COL YEL>{0} من المهام</COL> ",,,,,,,,,,,
7dd6f03e-4f22-48d7-834b-d25c5491d669,1898441405,村,里進行001_99,,,QUEST_LEVEL_1,←の村セレクトクエストを規定数クリア,EV_PRO_VILL_001_99_01,←がOFF,"""""","""""","""""","""""","""""","""""",里長フゲン_モデル,赤フキダシ,,prg_disp_v001_11,<COL YEL>里長フゲン</COL>と話す,Talk to <COL YEL>Fugen the Elder</COL>,Parler à <COL YEL>Fugen l'Ancien</COL>,Parla con <COL YEL>Fugen l'anziano</COL>,Sprich mit <COL YEL>Fogen dem Ältesten</COL>,Habla con <COL YEL>Fugen el anciano</COL>,"Поговорить со
<COL YEL>Старейшиной Фугэном</COL>","Porozmawiaj ze
<COL YEL>Starszym Fugenem</COL>",,,"Fale com <COL YEL>Fugen, o ancião</COL>",<COL YEL>촌장 후겐</COL>과 대화,與<COL YEL>村長傅賢</COL>交談,与<COL YEL>村长普贤</COL>对话,,,,,,,,تحدث إلى <COL YEL>المعمر فيوجين</COL>,,,,,,,,,,,
37ed2f5b-734c-40ba-80a0-1af4fe16fde5,2887407228,村,里進行001_99,,,EV_PRO_VILL_001_99_01,←がON,EV_PRO_VILL_001_99_02,←がOFF,"""""","""""","""""","""""","""""","""""",茶屋ヨモギ_モデル,赤フキダシ,,prg_disp_v001_12,<COL YEL>茶屋のヨモギ</COL>と話す,Talk to <COL YEL>Yomogi the Chef</COL>,Parler à <COL YEL>Yomogi la chef</COL>,Parla con <COL YEL>Yomogi la chef</COL>,Sprich mit <COL YEL>Yomogi der Köchin</COL>,Habla con <COL YEL>Yomogi la chef</COL>,Поговорить с <COL YEL>Поваром Йомоги</COL>,"Porozmawiaj z
<COL YEL>kucharką Yomogi</COL>",,,"Fale com <COL YEL>Yomogi, a chef</COL>",<COL YEL>찻집의 요모기</COL>와 대화,與<COL YEL>茶館老闆艾草</COL>交談,与<COL YEL>茶点店店主艾草</COL>对话,,,,,,,,تحدث إلى <COL YEL>الطباخة يوموجي</COL>,,,,,,,,,,,
3659677f-9ba0-4c38-af6f-39ae4bed4784,2064191319,村,里進行001_99,,,EV_PRO_VILL_001_99_02,←がON,EV_PRO_VILL_001_99_03,←がOFF,"""""","""""","""""","""""","""""","""""",里の受付嬢ヒノエ_モデル,赤フキダシ,,prg_disp_v001_13,<COL YEL>里の受付嬢ヒノエ</COL>と話す,Talk to <COL YEL>Hinoa the Quest Maiden</COL>,Parler à <COL YEL>Hinoa la quêtatrice</COL>,"Parla con
<COL YEL>Hinoa la missionatrice</COL>","Sprich mit <COL YEL>Hinoa
dem Quest-Mädel</COL>","Habla con <COL YEL>Hinoa la gestora de
misiones</COL>","Поговорить с
<COL YEL>Раздатчицей заданий Хиноа</COL>",Pomów z <COL YEL>szefową zadań Hinoą</COL>,,,"Fale com <COL YEL>Hinoa, a recrutadora</COL>",<COL YEL>마을 접수원 히노에</COL>와 대화,與<COL YEL>村莊接待員火芽</COL>交談,与<COL YEL>村庄接待员火芽</COL>对话,,,,,,,,تحدث إلى <COL YEL>هينوا فتاة المهام</COL>,,,,,,,,,,,
da0ebeee-8a44-4639-aa56-e135b29e5a9c,878996048,村,里進行001_99,,,EV_PRO_VILL_001_99_03,←がON,QN000202,←が未クリア,"""""","""""","""""","""""","""""","""""",モンスターアイコン,受注アイコン,QN000202,prg_disp_v001_14,"<COL YEL>里★２緊急クエストをクリア</COL>
{0}","<COL YEL>2★ Village Urgent Quest:</COL>
{0}","<COL YEL>Quête Urgente du village 2★</COL>
{0}","<COL YEL>Missioni villaggio urgenti 2★</COL>:
{0}","<COL YEL>Dringende 2★-Dorf-Quest:</COL>
{0}","<COL YEL>Misión urgente de 2★ de aldea:</COL>
{0}","<COL YEL>Срочное задание в деревне, 2★:</COL>
{0}","<COL YEL>2★ pilne zadanie wioski:</COL>
{0}",,,"<COL YEL>Missão Urgente da Aldeia 2★:</COL>
{0}","<COL YEL>마을 ★2 긴급 퀘스트 클리어</COL>
{0}","<COL YEL>完成村莊★2的緊急任務</COL>
{0}","<COL YEL>完成村庄的★2紧急任务</COL>
{0}",,,,,,,,"<COL YEL>مهمة قرية عاجلة <BSL>★2</BSL>:</COL>
{0}",,,,,,,,,,,
bcee22b6-a861-41bd-a87b-32a64072e2f7,3937757684,村,里進行002_01,,,QN000202,←をクリア,EV_PRO_VILL_002_01_01,←がOFF,"""""","""""","""""","""""","""""","""""",里長フゲン_モデル,赤フキダシ,,prg_disp_v002_01,<COL YEL>里長フゲン</COL>と話す,Talk to <COL YEL>Fugen the Elder</COL>,Parler à <COL YEL>Fugen l'Ancien</COL>,Parla con <COL YEL>Fugen l'anziano</COL>,Sprich mit <COL YEL>Fogen dem Ältesten</COL>,Habla con <COL YEL>Fugen el anciano</COL>,"Поговорить со
<COL YEL>Старейшиной Фугэном</COL>","Porozmawiaj ze
<COL YEL>Starszym Fugenem</COL>",,,"Fale com <COL YEL>Fugen, o ancião</COL>",<COL YEL>촌장 후겐</COL>과 대화,與<COL YEL>村長傅賢</COL>交談,与<COL YEL>村长普贤</COL>对话,,,,,,,,تحدث إلى <COL YEL>المعمر فيوجين</COL>,,,,,,,,,,,
46cd3d15-f9c6-414d-b03e-91a40487866f,3285195037,村,里進行002_01,,,EV_PRO_VILL_002_01_01,←がON,EV_PRO_VILL_002_01_02,←がOFF,"""""","""""","""""","""""","""""","""""",里の受付嬢ヒノエ_モデル,赤フキダシ,,prg_disp_v002_02,<COL YEL>里の受付嬢ヒノエ</COL>と話す,Talk to <COL YEL>Hinoa the Quest Maiden</COL>,Parler à <COL YEL>Hinoa la quêtatrice</COL>,"Parla con
<COL YEL>Hinoa la missionatrice</COL>","Sprich mit <COL YEL>Hinoa
dem Quest-Mädel</COL>","Habla con <COL YEL>Hinoa la gestora de
misiones</COL>","Поговорить с
<COL YEL>Раздатчицей заданий Хиноа</COL>",Pomów z <COL YEL>szefową zadań Hinoą</COL>,,,"Fale com <COL YEL>Hinoa, a recrutadora</COL>",<COL YEL>마을 접수원 히노에</COL>와 대화,與<COL YEL>村莊接待員火芽</COL>交談,与<COL YEL>村庄接待员火芽</COL>对话,,,,,,,,تحدث إلى <COL YEL>هينوا فتاة المهام</COL>,,,,,,,,,,,
d58fbad0-00f3-46a5-9f72-02142584604f,565705677,村,里進行002_01,,,EV_PRO_VILL_002_01_02,←がON,QUEST_LEVEL_2,←の村セレクトクエストが規定数未クリア,"""""","""""","""""","""""","""""","""""",セレクトクエスト受注アイコン,アイコンなし,,prg_disp_v002_03,"★２セレクトクエストをクリア
⇒あと<COL YEL>{0}クエスト</COL>","2★ Key Quest Completion:
<COL YEL>{0} quest(s)</COL> remaining","Quêtes clés 2★ à terminer :
<COL YEL>{0} quête(s)</COL> restante(s)","Missioni chiave 2★ rimanenti:
<COL YEL>{0}</COL>","Erfüllung der 2★-Hauptquests:
<COL YEL>{0} Quest(s)</COL> verbleibend","Misiones clave de 2★
Misiones restantes: <COL YEL>{0}</COL>","Выполнение ключ. задания, 2★
Осталось заданий: <COL YEL>{0}</COL>","Ukończone 2★ zadania kluczowe:
pozost. <COL YEL>{0} zad.</COL> ",,,"Conclusão de Missão-chave 2★:
<COL YEL>{0} missão(ões)</COL> restando","★2 엄선 퀘스트를 클리어
⇒앞으로 <COL YEL>{0}퀘스트</COL> 남음","完成★2精選任務
⇒還剩<COL YEL>{0}項任務</COL>","完成★2精选任务
⇒剩余<COL YEL>{0}项任务</COL>",,,,,,,,"اكتمال المهمة الرئيسية <BSL>★2</BSL>:
تبقى <COL YEL>{0} من المهام</COL> ",,,,,,,,,,,
214a629e-c675-47f8-bae6-e50bae3db7d7,3799552542,村,里進行002_99,,,QUEST_LEVEL_2,←の村セレクトクエストを規定数クリア,EV_PRO_VILL_002_99_01,←がOFF,"""""","""""","""""","""""","""""","""""",里長フゲン_モデル,赤フキダシ,,prg_disp_v002_04,<COL YEL>里長フゲン</COL>と話す,Talk to <COL YEL>Fugen the Elder</COL>,Parler à <COL YEL>Fugen l'Ancien</COL>,Parla con <COL YEL>Fugen l'anziano</COL>,Sprich mit <COL YEL>Fogen dem Ältesten</COL>,Habla con <COL YEL>Fugen el anciano</COL>,"Поговорить со
<COL YEL>Старейшиной Фугэном</COL>","Porozmawiaj ze
<COL YEL>Starszym Fugenem</COL>",,,"Fale com <COL YEL>Fugen, o ancião</COL>",<COL YEL>촌장 후겐</COL>과 대화,與<COL YEL>村長傅賢</COL>交談,与<COL YEL>村长普贤</COL>对话,,,,,,,,تحدث إلى <COL YEL>المعمر فيوجين</COL>,,,,,,,,,,,
f0236b01-e424-4a19-804f-23b9a78ee3ba,3242241034,村,里進行002_99,,,EV_PRO_VILL_002_99_01,←がON,EV_PRO_VILL_002_99_02,←がOFF,"""""","""""","""""","""""","""""","""""",オトモ窓口イオリ_モデル,赤フキダシ,,prg_disp_v002_05,<COL YEL>オトモ雇用窓口のイオリ</COL>と話す,Talk to <COL YEL>Buddy Handler Iori</COL>,"Parler à <COL YEL>Iori
l'assistant Pilpoil</COL>","Parla con
<COL YEL>Iori l'assistente dei compagni</COL>","Sprich mit <COL YEL>Buddy-
Wildexperte Iori</COL>","Habla con <COL YEL>Iori el gestor de
camaradas</COL>","Поговорить с
<COL YEL>Дрессировщиком Иори</COL>","Porozmawiaj z
<COL YEL>opiekunem kompanów Iorim</COL>",,,Fale com <COL YEL>Iori</COL>,<COL YEL>고용창구의 이오리</COL>와 대화,與<COL YEL>隨從雇用窗口小庵</COL>交談,与<COL YEL>随从雇用窗口刀脊</COL>对话,,,,,,,,تحدث إلى <COL YEL>مساعد الأصدقاء إيوري</COL>,,,,,,,,,,,
cb1bce19-fab7-41da-9fc3-8c272d94ea8c,1425929506,村,里進行002_99,,,EV_PRO_VILL_002_99_02,←がON,EV_PRO_VILL_002_99_03,←がOFF,"""""","""""","""""","""""","""""","""""",里の受付嬢ヒノエ_モデル,赤フキダシ,,prg_disp_v002_06,<COL YEL>里の受付嬢ヒノエ</COL>と話す,Talk to <COL YEL>Hinoa the Quest Maiden</COL>,Parler à <COL YEL>Hinoa la quêtatrice</COL>,"Parla con
<COL YEL>Hinoa la missionatrice</COL>","Sprich mit <COL YEL>Hinoa
dem Quest-Mädel</COL>","Habla con <COL YEL>Hinoa la gestora de
misiones</COL>","Поговорить с
<COL YEL>Раздатчицей заданий Хиноа</COL>",Pomów z <COL YEL>szefową zadań Hinoą</COL>,,,"Fale com <COL YEL>Hinoa, a recrutadora</COL>",<COL YEL>마을 접수원 히노에</COL>와 대화,與<COL YEL>村莊接待員火芽</COL>交談,与<COL YEL>村庄接待员火芽</COL>对话,,,,,,,,تحدث إلى <COL YEL>هينوا فتاة المهام</COL>,,,,,,,,,,,
