guid,crc?,<PageAttr>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<TalkAction2>,<TalkAction2Param>,<TalkAction2Param2>,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
60c4e473-9bfb-4beb-bdd0-166e643b1781,220213802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_010_07,キャンプの説明はこんなところかな。,"...And that's it for the Camp.
Let's move on to the next part!","C'est bon pour le camp.
Passons à la suite !","E questo è quanto sull'accampamento.
Passiamo oltre.","... Damit ist alles zum Lager gesagt.
Auf zum nächsten Teil!","Creo que eso es todo lo que necesitas saber
sobre el campamento.","Ну вот, с лагерем все.
Теперь идем дальше!","...To wszystko, jeśli chodzi o obóz.
Przejdźmy do następnej części!",,,"...E isso é tudo sobre o Acampamento.
Vamos para a próxima parte!",캠프 설명은 이 정도면 되겠군.,關於營地的說明差不多就到這裡了。,营地的说明差不多就是这些了。,,,,,,,,"...وهذا كل ما يخص المعسكر.
دعنا ننتقل إلى الجزء التالي!",,,,,,,,,,,
b4959d66-2d63-4b06-abbc-9e603f4657b2,4140607576,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_010_08,"<CAM:15,16,17>俺は先に、崖の下の河原で待っているよ！
もし、行き先が分からなくなったら
マップにあるアイコンを頼りに進むんだ！","<CAM:15,16,17>I'll meet you down by the river past
the ledge. If you get lost, just look
for my icon on your map!","<CAM:15,16,17>Retrouve-moi près de la rivière sous
le dolmen. Si tu te perds, il te suffit
de chercher mon icône sur la carte !","<CAM:15,16,17>Ci vediamo sulla riva del fiume oltre il
dislivello. Se ti perdi, cerca la
mia icona sulla mappa.","<CAM:15,16,17>Ich warte unten am Fluss hinter dem Felsvor-
sprung auf dich. Falls du dich verirrst, such
mein Symbol auf deiner Karte!","<CAM:15,16,17>Nos vemos río abajo, más allá del saliente.
Si te pierdes, busca mi icono en el mapa.","<CAM:15,16,17>Встретимся у реки, за уступом. Если
заблудишься, ищи мой значок на карте!","<CAM:15,16,17>Spotkajmy się na brzegu rzeki, za tym
nawisem. Jeśli się zgubisz, poszukaj
mojej ikony na mapie!",,,"<CAM:15,16,17>Te encontro no rio, passando depois
borda. Se você se perder, procura
meu ícone no seu mapa!","<CAM:15,16,17>나는 앞서가 절벽 아래 강변에서 기다리마!
만약 오는 길을 모르겠다면 맵에 있는
아이콘을 이정표 삼아 이동하면 된다!","<CAM:15,16,17>我先到崖下的河邊等你！
如果不知道在哪的話，
就照著地圖上的圖示前進吧！","<CAM:15,16,17>我先去悬崖下的河滩处等你！
如果不知道在哪儿的话，
就借助地图上的图标前进吧！",,,,,,,,"<CAM:15,16,17><LSNR {سأقابلك} {سأقابلكِ}> أسفل النهر بعيدًا عن الحافة.
في حالة فقدان الطريق، كل ما <LSNR {عليكَ} {عليكِ}>
البحث عن رمزي على خريطتك!",,,,,,,,,,,
6be978aa-f5de-4814-8892-fc55df538c13,2915000433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,クエスト手順番号を設定,,120,QD_QN030101_nid103_020_00,<CAM:4>こっちだ！　愛弟子！,<CAM:4>Heeey! Up here!,<CAM:4>Hé ! Lève la tête !,"<CAM:4>Ehi, <LSNR {campione} {campionessa}>! Quassù!",<CAM:4>Heeey! Hier oben!,<CAM:4>¡Eeey! ¡Aquí!,<CAM:4>Э-э-й! Сюда!,<CAM:4>Heeej! Na górze!,,,<CAM:4>Eeeei! Aqui em cima!,<CAM:4>이쪽이다! 애제자여!,<CAM:4>愛徒啊！我在這裡！,<CAM:4>这边！爱徒！,,,,,,,,<CAM:4>هاااي! هنا!,,,,,,,,,,,
91faecde-fd5c-462b-89de-29c28509768d,1737064558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_020_01,"ここでは狩猟にかかせない、
<COLS RED>「翔蟲（かけりむし）」</COL>を使った
移動をおさらいしておこう。","Alright, let's talk <COLS RED>Wirebugs</COL>!
These bodacious bugs are
a must in any hunt!","Bon, parlons des <COLS RED>Filoptères</COL> !
Ces fabuleux insectes sont un atout
incontournable pour toute chasse !","Bene, parliamo degli <COLS RED>insetti filo</COL>.
Questi coraggiosi insetti sono
fondamentali nella caccia.","Okay, reden wir über <COLS RED>Seilkäfer</COL>!
Die sind großartig und bei der Jagd ein
absolutes Muss!","Nos vamos a centrar en cómo movernos
usando <COLS RED>cordópteros</COL>, los cuales son de gran
importancia durante la caza.","Так, теперь поговорим о <COLS RED>Прутожуках</COL>!
Без этих крупных жуков на охоте никуда!","Dobra, pogadajmy o <COLS RED>kablobakach</COL>!
Bez tych wspaniałych robali
nie obejdzie się żaden łowca!",,,"Beleza, vamos falar dos <COLS RED>Cabinsetos</COL>!
Esses insetos ousados são essenciais
em qualquer caçada!","여기서는 사냥에 필수적인
<COLS RED>「밧줄벌레」</COL>를 이용한
이동을 알아 보도록 하자.","現在我們來複習如何使用<COLS RED>翔蟲</COL>移動，
這可是狩獵時不可或缺的技巧。","现在我们来复习一下
狩猎中不可或缺的
使用<COLS RED>“翔虫”</COL>来移动的方法吧。",,,,,,,,"حسنًا، دعنا نتحدث <COLS RED>عن حشرات الحرير</COL>!
تعد هذه الحشرات الجذابة إحدى
الضروريات في أي صيد!",,,,,,,,,,,
fb07e024-20e9-448d-b767-7cdf3b813ea7,2976139933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_020_02,"翔蟲を使いこなせれば、
こんな岩の上にだってあっという間に
移動できるんだ。","Use 'em right, and you'll be able to zip
around to pretty much anywhere you
wanna go! Even on top of this boulder!","Si tu t'en sers correctement, tu pourras
aller n'importe où en un rien de temps,
même en haut de ce rocher !","Usali bene e potrai andare ovunque,
anche sopra a un masso come questo,
in un battibaleno!","Setz sie richtig ein, dann kommst du in null
Komma nichts so ziemlich überall hin!
Sogar auf den Felsen hier!","Úsalos bien y podrás ir adonde quieras,
¡incluso a lo alto de esta peña!","Используй их с умом, и сможешь
попасть куда угодно! Даже на вершину
вон того камня!","Używaj ich umiejętnie do szybkiego
przemieszczania się! Możesz migiem wskoczyć
nawet na ten głaz!",,,"Se usá-los direito, você pode alcançar
praticamente qualquer lugar que quiser!
Até em cima desta pedra!","밧줄벌레를 잘 다룰 수 있게 되면
이런 바위도 순식간에 오를 수 있지.","只要能善加利用翔蟲，
甚至還能輕鬆移動到這種岩石上喔。","只要灵活运用翔虫，
一瞬间就能移动到
这种岩石上。",,,,,,,,"استخدمها بالطريقة الصحيحة،وستتمكّن
من الاندفاع بسرعة كبيرة للغاية في أي مكان
تذهب إليه! حتى من فوق قمة هذه الصخرة!",,,,,,,,,,,
01a8ba16-e9c5-490c-8e4a-e400ff036509,3345307338,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_020_03,さあ、挑戦してみよう！,Give it a shot!,"Essaie, et tu verras !","Provaci, su!",Versuch's mal!,¡Pruébalo!,Попробуй!,Spróbuj!,,,Experimenta!,"자, 도전해 보자!",來，挑戰看看吧！,来挑战一下吧！,,,,,,,,فلتجرب الأمر!,,,,,,,,,,,
727fd64f-d09c-4978-8069-38b303f42785,4061331770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,クエスト手順番号を設定,,130,QD_QN030101_nid103_030_00,"<CAM:24>すごいぞ！　愛弟子。
翔蟲の扱いもバッチリだね！","<CAM:24>Hey! Look at that!
You're a natural!","<CAM:24>Eh bien dis donc... On dirait que t'as
ça dans le sang !","<CAM:24>Ma guardati!
Hai proprio un talento naturale!","<CAM:24>Hey! Sieh mal einer an!
Du bist ein Naturtalent!","<CAM:24>¡Pero mírate!
¡Has nacido para esto!","<CAM:24>Эй! Да вы только гляньте!
Ты просто мастер!","<CAM:24>Hej! No proszę!
Masz do tego talent.",,,"<CAM:24>Ora! Olha só!
Você leva jeito!","<CAM:24>대단하구나! 애제자여.
밧줄벌레도 아주 잘 다루는구나!","<CAM:24>太厲害了，愛徒！
看來你利用翔蟲的技術也沒問題了！","<CAM:24>太厉害了！爱徒。
你已经完全掌握翔虫的用法了！",,,,,,,,"<CAM:24>مرحبًا! <LSNR {انظر} {انظري}> إلى ذلك!
 <LSNR {أنت موهوب} {أنتِ موهوبة}> بالفطرة!",,,,,,,,,,,
82812f8a-7511-4972-80ce-de896bb6965c,2822543949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_030_01,"さあ、次は狩猟の頼れる仲間
<COLS RED>オトモ</COL>との連携を確認するぞ。","Next, let's talk <COLS RED>Buddies</COL>!",Parlons maintenant des <COLS RED>Pilpoils</COL> !,Ora parliamo dei <COLS RED>compagni</COL>!,Als Nächstes reden wir über <COLS RED>Buddys</COL>!,Ahora toca hablar de los <COLS RED>camaradas</COL>.,Теперь поговорим о <COLS RED>спутниках</COL>!,Teraz pogadajmy o <COLS RED>kompanach</COL>!,,,"Agora, vamos falar sobre <COLS RED>Amigos</COL>!","자, 다음은 믿음직한 사냥의 동료,
<COLS RED>동반자</COL>와의 연계를 확인해 보겠다.","好了，接下來就要確認你與狩獵時
可靠的同伴──<COLS RED>隨從</COL>之間的合作了。","好，接着我们就来确认一下，
与狩猎中的可靠伙伴——<COLS RED>随从</COL>的合作吧。",,,,,,,,بعد ذلك، دعونا نتحدث عن <COLS RED>الرفاق</COL>!,,,,,,,,,,,
12ba6c35-91d5-4edd-b079-cea60faa890f,3385002339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_030_02,"<CAM:11><OTTUTO>今日は俺の相棒である、
<COLS RED>オトモアイルー</COL>と<COL RED>オトモガルク</COL>の
デンコウとライゴウが来てくれたんだ。","<CAM:11><OTTUTO>Today, I brought my <COLS RED>Palico</COL> and
<COL RED>Palamute</COL>, Flash and Rumble,
with me.","<CAM:11><OTTUTO>J'ai amené mon <COLS RED>Palico</COL> et mon <COL RED>Chumsky</COL>,
Éclair et Tonnerre, avec moi
aujourd'hui.","<CAM:11><OTTUTO>Oggi sono qui con noi Flash, il mio
<COLS RED>compagno Felyne</COL>, e Rumble, il mio
<COL RED>compagno Canyne</COL>.","<CAM:11><OTTUTO>Heute habe ich meinen <COLS RED>Palico</COL> Blitz und
meinen <COL RED>Palamute</COL> Donner mitgebracht.","<CAM:11><OTTUTO>He traído conmigo a mis camaradas <COLS RED>Felyne</COL>
y <COL RED>Canyne</COL>, Rayo y Trueno.","<CAM:11><OTTUTO>Сегодня у нас есть <COLS RED>Палико</COL> и
<COL RED>Паламут</COL>, Вспышка и Грохот, вот они.","<CAM:11><OTTUTO>Są dziś z nami mój <COLS RED>koleżkot</COL> 
i <COL RED>kumpies</COL>, Błyskawic i Pomruk.",,,"<CAM:11><OTTUTO>Hoje, eu trouxe comigo meu <COLS RED>Amigato</COL> e meu
<COL RED>Amicão</COL>, Lampejo e Estrondo!","<CAM:11><OTTUTO>오늘은 내 파트너로 활약하는
<COLS RED>동반자 아이루</COL>와 <COL RED>동반자 가루크</COL>인
덴코와 라이고를 데려왔지.","<CAM:11><OTTUTO>今天我的夥伴
<COLS RED>隨從艾路</COL>和<COL RED>隨從加爾克</COL>──
電光和雷轟也一起過來了。","<CAM:11><OTTUTO>今天我找来了我的搭档，
<COLS RED>随从艾露猫</COL>电光与<COL RED>随从牙猎犬</COL>雷轰。",,,,,,,,"<CAM:11><OTTUTO>أحضرت اليوم <COLS RED>الباليكو</COL>
،و<COL RED>البالاموت</COL> ووميض وصوت الرعد معي.",,,,,,,,,,,
8f8d3200-59dd-4b0a-9eb6-2acdf9af4db1,1496938890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_030_03,"今回の訓練の間、
キミに協力してくれるよ。","They'll be lendin' you a paw for
this part of the training.","Ils seront là pour te filer un coup
de patte !","Ti daranno una zampa in questa parte
dell'addestramento.","Sie werden dir bei diesem Teil des
Trainings zur Pfote gehen.","Están aquí para echarnos un cable con esta
parte del entrenamiento.","Они протянут тебе свою лапу дружбы
для этой части тренировки.",Pomogą ci w tej części treningu.,,,"Eles vão te dar uma pata
nesta parte do treinamento.","이번 훈련 동안
널 도와줄 거다.",牠們會在這次訓練中助你一臂之力喔。,就让它们来协助这次的训练吧。,,,,,,,,"سيقدمون إليك بعض المساعدة
في هذا الجزء من التدريب.",,,,,,,,,,,
