2368350e-908e-4dea-a0e3-18f1c4b54a4b,3123154382,Option_common_TrainingArea_008_Menu,低,Low,Basse,Basso,Niedrig,Bajo,Низк.,Niska,,,Baixo,저,低,低,,,,,,,,منخفض,,,,,,,,,,,
88d2bae1-8b23-4b59-81b9-a0d75217bdb7,1506912483,Option_common_TrainingArea_009_Menu,前,Front,Devant,Avanti,Vorne,Parte delantera,Вперед,W przód,,,Frente,앞,前,前,,,,,,,,أمام,,,,,,,,,,,
032fd375-e4c9-4207-b162-5bd0f1b1cc9b,2674527794,Option_common_TrainingArea_010_Menu,左,Left,À gauche,Sinistra,Links,Izquierda,Влево,W lewo,,,Esquerda,왼쪽,左,左,,,,,,,,يسار,,,,,,,,,,,
0815242c-e906-4de9-b488-31fa0f76108e,3954469671,Option_common_TrainingArea_011_Menu,右,Right,À droite,Destra,Rechts,Derecha,Вправо,W prawo,,,Direita,오른쪽,右,右,,,,,,,,يمين,,,,,,,,,,,
8f071d43-123e-4717-84ca-052401e7bc82,3167484991,Option_common_TrainingArea_012_Menu,後,Back,Derrière,Indietro,Hinten,Parte trasera,Назад,W tył,,,Atrás,뒤,後,后,,,,,,,,خلف,,,,,,,,,,,
5e6abc4f-3b03-442a-bd86-1ba1282925ad,3983913227,Option_common_TrainingArea_013_Menu,OFF,No,Non,No,Nein,No,Нет,Nie,,,Não,OFF,OFF,关,,,,,,,,لا,,,,,,,,,,,
13d5edfd-9e35-4b9c-b7e7-ee6620dca1cb,2092714628,Option_common_TrainingArea_014_Menu,ON,Yes,Oui,Sì,Ja,Sí,Да,Tak,,,Sim,ON,ON,开,,,,,,,,أجل,,,,,,,,,,,
2d02857a-e968-4a30-a96f-d02b5e9a34f3,3936544476,Option_common_TrainingArea_015_Menu,待機,Standby,En attente,In attesa,Bereitschaft,En espera,Ожидание,Oczekiwanie,,,Em espera,대기,待機,待机,,,,,,,,استعداد,,,,,,,,,,,
1cec4057-0c0a-4e79-a93c-5f65960f2597,2695544540,Option_common_TrainingArea_016_Menu,ブレス,Projectile,Projectile,Spara,Geschoss,Proyectil,Снаряд,Pociski,,,Projétil,브레스,吐息,吐息,,,,,,,,صاروخ,,,,,,,,,,,
a5b5a8a8-b201-4f1f-baf2-ce76d091ffac,3837511611,Option_common_TrainingArea_017_Menu,四股踏み,Stomp,Assaut,Schiaccia,Stampfen,Pisotón,Топтать,Deptanie,,,Pisão,발 구르기,跺腳,踏地,,,,,,,,سحق,,,,,,,,,,,
1addfe18-0159-40bd-92b0-3710b90b7c13,1593855628,Option_common_TrainingArea_018_Menu,移動,Moving,Déplacement,In movimento,Bewegen,En movimiento,Движущаяся,Ruchomy,,,Movendo-se,이동,移動,移动,,,,,,,,التحرك,,,,,,,,,,,
715012be-871c-4e6a-adbe-2a36966f9a7f,2364409891,Option_common_TrainingArea_019_Menu,固定,Static,Statique,Immobile,Statisch,Estático,Неподвижная,Statyczny,,,Estático,고정,固定,固定,,,,,,,,ساكن,,,,,,,,,,,
556b964c-894c-4921-aba7-b2ef122b6c4f,660766417,Option_common_TrainingArea_020_Menu,2,2,2,2,2,2,2,2,,,2,2,2,2,,,,,,,,2,,,,,,,,,,,
454d8dc2-7f36-4a97-81c9-3bfab4bf379f,366893309,Option_common_TrainingArea_021_Menu,3,3,3,3,3,3,3,3,,,3,3,3,3,,,,,,,,3,,,,,,,,,,,
e81843f9-6c1f-4d2d-a080-aebdd1bd79e1,527044431,Option_common_TrainingArea_022_Menu,自動回復,Infinite Use,Usage infini,Uso infinito,Unbegrenzte Nutzung,Uso infinito,Бесконеч. использование,Nielimitowane użycie,,,Uso infinito,자동 회복,自動回復,自动回复,,,,,,,,استخدام غير محدود,,,,,,,,,,,
7a298ac3-72bc-4c9d-8a48-4da28d6e064b,1438498039,Option_Me_Ti_01,オプション,Options,Options,Opzioni,Optionen,Opciones,Настройки,Opcje,,,Opções,옵션,選項,选项,,,,,,,,الخيارات,,,,,,,,,,,
be375b9f-9870-4f5e-bf38-5f2c11df9759,4155306675,Option_Me_Ca_01,GAME SETTING,Game Settings,Paramètres de jeu,Generali,Spieleinstellungen,Opciones de juego,Настройки игры,Ustawienia gry,,,Configurações do Jogo,게임 세팅,遊戲設定,游戏设置,,,,,,,,إعدادات اللعبة,,,,,,,,,,,
5f6aa820-77d5-4e3e-9b1a-ed24a1e4afa5,1856102318,Option_Me_Ca_02,CONTROLS,Controls,Commandes,Comandi,Steuerung,Controles,Управление,Sterowanie,,,Controles,조작,操控,操控,,,,,,,,عناصر التحكم,,,,,,,,,,,
fff653ba-9382-4745-b49c-6a561fc1ae1c,2298147418,Option_Me_Ca_03,CAMERA,Camera,Caméra,Visuale,Kamera,Cámara,Камера,Kamera,,,Câmera,카메라,視角,视角,,,,,,,,الكاميرا,,,,,,,,,,,
3f2ac82a-a8dc-4434-b87f-b90539117260,248502592,Option_Me_Ca_04,AUDIO,Audio,Audio,Audio,Audio,Sonido,Звук,Dźwięk,,,Áudio,오디오,音效,音效,,,,,,,,الصوت,,,,,,,,,,,
26e32d2e-447d-45fb-839e-61203c0ee6bb,376325495,Option_Me_Ca_05,DISPLAY,Display,Affichage,Schermo,Anzeige,Visualización,Отображение,Ekran,,,Monitor,디스플레이,顯示,显示,,,,,,,,العرض,,,,,,,,,,,
546bbd25-58e7-4e5b-8503-3fc8d5d9c2ef,2556208049,Option_Me_Ca_06,LANGUAGE,Language,Langue,Lingua,Sprache,Idioma,Язык,Język,,,Idioma,언어,語言,语言,,,,,,,,اللغة,,,,,,,,,,,
1adb8d41-5267-4fe0-ad7d-6f4110011e65,2875756586,Option_Me_Ca_07,PRIVACY,Privacy,Confidentialité,Privacy,Datenschutz,Privacidad,Конфиденциальность,Prywatność,,,Privacidade,프라이버시,隱私,隐私,,,,,,,,الخصوصية,,,,,,,,,,,
2f101194-2b3c-4576-85a4-fcc6e88ab6d2,705588154,Option_Me_Ca_08,SAVE DATA,Save Data,Données de sauvegarde,Salvataggio dati,Speicherdaten,Datos de guardado,Сохраненные данные,Zapisywanie danych,,,Salvar Dados,저장 데이터,儲存資料,存档,,,,,,,,حفظ البيانات,,,,,,,,,,,
03051947-7649-4152-a004-fe05a91500a8,2615174563,Option_Me_Ca_09,GYROSCOPE,Gyroscope,Gyroscope,Giroscopio,Bewegungssensor,Giroscopio,Гироскоп,Żyroskop,,,Giroscópio,자이로 센서,陀螺儀,陀螺仪,,,,,,,,جيروسكوب,,,,,,,,,,,
41694f06-ef9e-41c7-86a9-a205a6450428,1312060969,Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001
4cd6c755-90b5-4bb4-8ea5-04fbfdf3ba0a,3509555813,Option_Me_Item_002,チュートリアルウィンドウの表示,Tutorial Window,Fenêtre des didacticiels,Finestra tutorial,Tutorial-Fenster,Ventana de tutorial,Окно обучения,Okno samouczka,,,Janela de Tutorial,튜토리얼 창 표시,顯示教學視窗,显示教学窗口,,,,,,,,نافذة التدريب,,,,,,,,,,,
d79b0aa7-924a-4133-962e-6ed6023a76fd,1490664957,Option_Me_Item_003,HUDの表示,HUD Settings,Paramètres du HUD,Impostazioni HUD,HUD-Einstellungen,Opciones de HUD,Настройки HUD,Ustawienia HUD,,,Configurações de HUD,HUD 표시,顯示HUD,显示抬头显示,,,,,,,,إعدادات شاشة المشاهدة الأمامية,,,,,,,,,,,
ed5b1652-19d4-40c5-a17f-a2e16faa13b4,3350519326,Option_Me_Item_004,体力とスタミナのゲージ表示,Health & Stamina Gauge,Jauge de vie/endurance,Barra vita e resistenza,Gesundheits- & Ausdauerbalken,Barra de salud y resistencia,Шкала здоровья и выносливости,Pasek zdrowia i wytrzymałości,,,Barras de Vida e Vigor,체력과 스태미나 게이지 표시,顯示體力與耐力計量表,体力与耐力槽的显示,,,,,,,,مقياس الصحة وقوة التحمل,,,,,,,,,,,
23d324f4-f4d9-4dcf-9a3c-c00597dfd014,3149724117,Option_Me_Item_005,HUDのマップ表示タイプ,HUD Map Type,Type de carte du HUD,Mappa HUD,HUD-Kartentyp,Tipo de mapa HUD,Тип карты HUD,Typ mapy HUD,,,Tipo de Mapa no HUD,HUD 맵 표시 타입,HUD的地圖顯示類型,抬头显示的地图显示类型,,,,,,,,نوع خريطة شاشة المشاهدة الأمامية,,,,,,,,,,,
8c430f67-ab01-4686-bb45-fd1cf33d4183,620183145,Option_Me_Item_006,HUDのマップ表示切り替えタイプ,HUD Map Toggle Type,Modifier le type de carte du HUD,Mostra/nascondi mappa HUD,Umschalt-Typ für die HUD-Karte,Tipo de cambio de mapa HUD,Выбор типа карты HUD,Typ przełącznika mapy HUD,,,Tipo de Alternância de Mapa no HUD,HUD 맵 표시 전환 타입,HUD的地圖顯示切換類型,抬头显示的地图显示切换类型,,,,,,,,نوع تبديل خريطة شاشة المشاهدة الأمامية,,,,,,,,,,,
216283aa-9c1f-4bb3-9d19-a6c419c5ebf0,2473582453,Option_Me_Item_007,プレイヤーの透過表示,Player Silhouette,Silhouette du personnage,Silhouette giocatore,Charakterumriss,Silueta del jugador,Силуэт игрока,Zarys gracza,,,Silhueta do Jogador,플레이어 투과 표시,玩家透明顯示,玩家的透过显示,,,,,,,,صورة اللاعب الظلية,,,,,,,,,,,
a9264693-54b6-4e82-98b6-e0a532a6c64e,2679171328,Option_Me_Item_008,ダメージ表示の有無,Damage Indicators,Indicateurs de dégâts,Indicatore di danno,Schadensanzeiger,Indicadores de daño,Индикаторы урона,Wskaźniki obrażeń,,,Indicadores de Dano,대미지 표시 여부,是否顯示傷害,是否显示伤害,,,,,,,,مؤشرات الضرر,,,,,,,,,,,
8ee9af74-f5d4-48a7-9146-f7085f1ce2fd,2385750439,Option_Me_Item_009,ヒットエフェクトの表現,Hit Effects,Effets d'attaque,Effetti dei colpi,Treffereffekte,Efectos de golpe,Эффекты от ударов,Efekty trafień,,,Efeitos de Golpes,히트 이펙트 표현,命中特效表現,打击特效的表现,,,,,,,,تأثير الضرب,,,,,,,,,,,
7123b834-5e61-403f-94a6-99d91e1b3f8b,4070757122,Option_Me_Item_010,字幕の表示,Subtitles,Sous-titres,Sottotitoli,Untertitel,Subtítulos,Субтитры,Napisy,,,Legendas,자막 표시,顯示字幕,显示字幕,,,,,,,,تراجم الحوار,,,,,,,,,,,
b3907f43-3513-42ca-8ed4-0362b834abde,4044241158,Option_Me_Item_011,人物の名前表示,Character Names,Noms des personnages,Nomi dei personaggi,Charakternamen,Nombres de personajes,Имена персонажей,Imiona postaci,,,Nomes de Personagens,인물 이름 표시,顯示人物名稱,显示人物名称,,,,,,,,أسماء الشخصيات,,,,,,,,,,,
1d381370-7156-4cd6-9cd7-eb9f83abb1fb,1167455308,Option_Me_Item_012,プレイヤーアクションの操作形態,Player Actions Settings,Paramètres des actions du joueur,Impostazioni azioni giocatore,Spieleraktionseinstellungen,Opciones de acciones del jugador,Настройки действий игрока,Ustawienia akcji gracza,,,Configuração de Ações do Jogador,플레이어 액션 조작 형태,玩家動作操作型態,玩家动作的操作形态,,,,,,,,إعدادات حركات اللاعبين,,,,,,,,,,,
d585201f-f051-4f99-8a19-433c7dbb68f5,2067131096,Option_Me_Item_013,操竜時の移動操作,Wyvern Riding Controls,Commandes pour chevaucher wyvernes,Comandi cavalcatura wyvern,Steuerung für Wyvernritte,Controles de la montura wyvern,Управление ездой на виверне,Sterowanie podczas jazdy na wiwernie,,,Controles Montando Serpes,용 조종 시 이동 조작,操龍時的移動操作,御龙时的移动操作,,,,,,,,إعدادات ركوب التنين المجنح,,,,,,,,,,,
ed2683e3-324e-422a-b4bb-6a8b46827669,748721621,Option_Me_Item_014,長押しの調整,Button Hold Settings,Paramètres de maintien de bouton,Impostazioni pressione pulsante,Tastenhalten-Optionen,Opciones de botón pulsado,Настройки удержания кнопки,Ustawienia przytrzymywania przycisku,,,Configurações de Botões Pressionados,길게 누르기 조정,長按按鍵調整,调整长按时间,,,,,,,,إعدادات الضغط على الأزرار,,,,,,,,,,,
56a95271-48ad-4dc0-9969-5aafb1d3fc59,43433528,Option_Me_Item_015,方向指定タイプ,Directional Control Settings,Paramètres de contrôle directionnel,Impostazioni movimenti personaggio,Richtungssteuerungseinstellungen,Opciones de control direccional,Настройки указания направления,Ustawienia sterowania kierunkowego,,,Configurações de Controle Direcional,방향 지정 타입,方向指定類型,方向指定类型,,,,,,,,إعدادات التحكم في الاتجاهات,,,,,,,,,,,
6195d9d1-8553-48e2-aaed-0d74a8e0a2d8,1328400965,Option_Me_Item_016,自動納刀の設定,Sheathe Settings,Rengainage,Rinfodero,Wegstecken-Einstellungen,Opciones de envainado,Ножны,Ustawienia chowania broni,,,Configurações Embainhamento,자동 납도 설정,自動收刀設定,自动纳刀设置,,,,,,,,إعدادات الغمد,,,,,,,,,,,
04cb6e3b-ae02-4264-95ef-44217955a3e2,67664207,Option_Me_Item_017,ダッシュ操作,Dash Settings,Courir,Scatto,Sprint-Einstellungen,Opciones de esprint,Настройки рывка,Ustawienia zrywów,,,Configurações da Corrida,대시 조작,衝刺操作,冲刺操作,,,,,,,,إعدادات الاندفاع,,,,,,,,,,,
7103ae22-79cb-43f1-85d3-26cb26ea4e47,691196451,Option_Me_Item_018,<ICON PAD_L>と<ICON PAD_R>の入れ替え,Switch <ICON PAD_L> and <ICON PAD_R>,Intervertir <ICON PAD_L> et <ICON PAD_R>,Scambia <ICON PAD_L> e <ICON PAD_R>,<ICON PAD_L> und <ICON PAD_R> vertauschen,Intercambiar <ICON PAD_L> y <ICON PAD_R>,Переключать <ICON PAD_L> и <ICON PAD_R>,Zamień <ICON PAD_L> i <ICON PAD_R>,,,Alternar <ICON PAD_L> e <ICON PAD_R>,<ICON PAD_L>과 <ICON PAD_R> 교체,交換<ICON PAD_L>與<ICON PAD_R>,交换<ICON PAD_L>/<ICON PAD_ZL>或<ICON PAD_R>/<ICON PAD_ZR>,,,,,,,,تبديل <ICON PAD_L> و<ICON PAD_R>,,,,,,,,,,,
d8018457-18e1-47e8-9485-15e9bd9ab025,90392833,Option_Me_Item_019,ショートカット操作設定,Radial Menu Settings,Paramètres menu radial,Funzionamento scelta rapida,Tortenmenü-Einstellungen,Ajustes del menú radial,Настройки кругового меню,Ustawienia menu kołowego,,,Configuração Menu Radial,숏컷 조작 설정,捷徑操作設定,快捷栏操作设置,,,,,,,,إعدادات القائمة الشعاعية,,,,,,,,,,,
26014d13-01d4-4a5f-9408-ffa8a7023080,3991969686,Option_Me_Item_020,<ICON KEY>の操作,<ICON KEY> Controls,Commandes <ICON KEY>,<ICON KEY> Comandi,<ICON KEY> Steuerung,<ICON KEY> Controles,<ICON KEY> Управление,<ICON KEY> Sterowanie,,,<ICON KEY> Controles,<ICON KEY>의 조작,<ICON KEY>的操作,<ICON KEY>操作,,,,,,,,عناصر التحكم <ICON KEY>,,,,,,,,,,,
724b793d-cdc0-4075-857e-32390317db14,198267078,Option_Me_Item_021,<OPT LT_LONG>+<ICON PAD_A><ICON PAD_B><ICON PAD_X><ICON PAD_Y>の操作,<OPT LT_LONG>+<ICON PAD_A>/<ICON PAD_B>/<ICON PAD_X>/<ICON PAD_Y> Controls,Commandes <OPT LT_LONG>+<ICON PAD_A>/<ICON PAD_B>/<ICON PAD_X>/<ICON PAD_Y>,<OPT LT_LONG> + <ICON PAD_A>/<ICON PAD_B>/<ICON PAD_X>/<ICON PAD_Y> Comandi,<OPT LT_LONG>+<ICON PAD_A>/<ICON PAD_B>/<ICON PAD_X>/<ICON PAD_Y> Steuerung,<OPT LT_LONG> + <ICON PAD_A> / <ICON PAD_B> / <ICON PAD_X> / <ICON PAD_Y> Controles,<OPT LT_LONG>+<ICON PAD_A>/<ICON PAD_B>/<ICON PAD_X>/<ICON PAD_Y> Управление,<OPT LT_LONG> + <ICON PAD_A>/<ICON PAD_B>/<ICON PAD_X>/<ICON PAD_Y>  Sterowanie,,,<OPT LT_LONG>+<ICON PAD_A>/<ICON PAD_B>/<ICON PAD_X>/<ICON PAD_Y> Controles,<OPT LT_LONG>+<ICON PAD_A><ICON PAD_B><ICON PAD_X><ICON PAD_Y>의 조작,<OPT LT_LONG>+<ICON PAD_A><ICON PAD_B><ICON PAD_X><ICON PAD_Y>的操作,<OPT LT_LONG>+<ICON PAD_A><ICON PAD_B><ICON PAD_X><ICON PAD_Y>操作,,,,,,,,<OPT LT_LONG>+<ICON PAD_A>/<ICON PAD_B>/<ICON PAD_X>/<ICON PAD_Y> عناصر التحكم,,,,,,,,,,,
585bc643-ec40-4f1d-a956-611bd11ab3ab,288226576,Option_Me_Item_022,<ICON PAD_SELECT>の操作,<ICON PAD_SELECT> Controls,Commandes <ICON PAD_SELECT>,<ICON PAD_SELECT> Comandi,<ICON PAD_SELECT> Steuerung,<ICON PAD_SELECT> Controles,<ICON PAD_SELECT> Управление,<ICON PAD_SELECT> Sterowanie,,,<ICON PAD_SELECT> Controles,<ICON PAD_SELECT>의 조작,<ICON PAD_SELECT>的操作,<ICON PAD_SELECT>操作,,,,,,,,عناصر التحكم <ICON PAD_SELECT>,,,,,,,,,,,
cf10c545-7ef9-4cde-9fe9-8a35f0319eb2,2252236857,Option_Me_Item_023,スタートメニュー操作設定,Start Menu Navigation,Navigation dans le menu de jeu,Tipo di comandi (menu di gioco),Startmenü-Navigation,Controles del menú de inicio,Управление в начальном меню,Obsługa menu startowego,,,Navegação do Menu Inicial,시작 메뉴 조작 설정,開始選單操作設定,开始菜单操作设置,,,,,,,,التنقل في قائمة البدء,,,,,,,,,,,
97e22bf2-3efe-4640-9939-28559caffd95,1232735577,Option_Me_Item_024,カメラの振動,Camera Shake,Effet de tremblement,Aggancio,Verwacklungsunschärfe,Vibración de la cámara,Дрожь камеры,Wibracje kamery,,,Balanço da Câmera,카메라 진동,視角震動,视角震动,,,,,,,,هزّ الكاميرا,,,,,,,,,,,
